aquiredRound,refittedRound,defaultPersonality,variantID,shipName
1,1,steady,24_spire_iv_inception,Cheeseburger Freedom Man
1,1,steady,24_flamingo_iv_ornamental,Lawn Ornament
1,1,steady,24_flamingo_iv_ornamental,Improbable Weapon
1,1,steady,24_flamingo_iv_ornamental,Shrimp Enjoyer
1,1,aggressive,24_scarab_iv_magician,Tweedle Dee
1,1,aggressive,24_scarab_iv_magician,Tweedle Dum
1,1,aggressive,24_scarab_iv_magician,Larry
1,1,aggressive,24_scarab_iv_magician,Curly
1,1,aggressive,24_scarab_iv_magician,Moe
1,1,aggressive,24_scarab_iv_magician,The 6th Ranger
